text,tag
русских молодежей → русской молодежи,num
отражали → отражались,refl
темы для курсовых работ → в темах курсовых работ,gov
который показывает → чтобы показать,constr
Мы друг один в неделю → Мы видили друг друга один раз в неделю,constr
показывать → быть,lex
стили → стилей,gov
может → могут,agrnum
о → в,prep
начала → начали,agrnum
Включения → Включений,num
были → было,num
"было свободного → не было свободного времени,",constr
со → c,altern
учебной работой → работой преподавателя,lex
вернуться → вернусь,syntax
в → обратно,lex
продолжать → продолжу,syntax
имеют основание в → основаны на,lex
Нижнем → нем,lex
меня → мне,agrcase
следовало → нужно было,lex
много → многое,lex
сообщают → передают,lex
является → являются,agrnum
сложным → сложными,agrnum
скучным → скучными,agrnum
жестоким → жестокими,agrnum
дать → передать,lex
у туристов нет → нет у туристов,wo
жажды → жажде,"gov, agrcase"
текналогии → технологий,ortho
мирское насиление → население мира,wo
веки → века,infl
веки → веке,infl
с разрывом → при помощи разрыва,conj
тоже → то же,space
веки → веке,infl
векии → веке,"ortho, infl"
потомучто → потому что,space
мне выбрать → я могла,lex
такжевключаеться → тоже входит,"lex, space"
во общей → в,insert
воду → водку,misspell
Пользование → Использование,par
"так,  как → Так же, как и",conj
части → его части,del
от моей точкой зрения → с моей точки зрения,"constr, idiom"
бабшка → бабушка,ortho
тебе → тебя,gov
на → в,conj
кому- то → кого-то,"gov, space"
чувствовать → чувствовать себя,refl
тоже → также,"conj, par"
смотря на → смотря,constr
мат → матом,gov
вообше → вообще,ortho
соглашаться → согласиться,asp
есть → [MASK],insert
уменшение → уменьшение,ortho
духовность → духовности,gov
плохое → плохо,lex
"что-то плохое, → это плохо",lex
сказал → говорил,"lex, par, asp"
веру → верю,"infl, ortho"
эти результаты → этим рзультатам,gov
По моему → По-моему,hyphen
повторили → повторились,refl
слово → слова,agrcase
связаны → связанные,brev
чувствовать → испытывать,lex
поддерживает мнение → убеждает во мнении,lex
необходимы → необходимые,brev
кому- то → кого-то,"gov, space"
настроением → настроении,agrcase
на много  → намного ,ortho
о эмоциональной  → эмоциональной ,constr
о переживание  → переживанию ,"gov, constr"
облодает → [MASK],ortho
гармоничные → [MASK],gov
отношение → [MASK],"syntax, gov"
было сделано много сокращений → многое было упразднено,constr
5 → 1/5,del
голода большая → большой голод,"agrgender, wo"
знанию → знаниям,agrnum
патриотизму → между патриотизмом,gov
любви → любовью,gov
случается → происходит,lex
в родине → родиной,gov
чувство не → не чувство,wo
подобное → похожее,lex
о → об,prep
иностранных → иностранцах,lex
является ответом против → препятствует,lex
оказывается вредной → неправильна,lex
Америки → Америке,agrcase
самый зеленый город → самым зеленым городом в америке,gov
сберегать → беречь,par
там → [MASK],insert
нарушение → нарушении,agrcase
выполнение → выполнения,gov
страны → стране,"gov, agrcase"
двух этажного → двухэтажного,space
представлены → представленные в,"brev, conj"
непохожего →  не похожего,space
так- же → так же,hyphen
так- же → так же,ortho
Россияни → Россияне,infl
"например Индии → Индии, например",wo
систем касты → кастовой системы,"wo, lex"
по → в,conj
опаздывает → отстает,lex
услугам → услугах,agrcase
отлицие → отличие,ortho
предедущих → предыдущих,ortho
восточныя → восточных,infl
так- же → так же,hyphen
те- же → те же,hyphen
полнастью → полностью,ortho
эроглифы → иероглифы,deriv
этого → у этого,conj
пути к определению → способы определения,lex
пониманию → понимания,lex
что → что-то,ref
что → что есть,del
более → больше,lex
за более чем → больше чем за,"wo, lex"
С эту целью → Для этого,constr
не зависят → зависят не,wo
править → управлять,lex
точно → так же,lex
собственних → собственных,ortho
только сообщено → сообщают только,wo
плохое → что-то плохое,del
хорошо → хорошего,lex
если он был → был ли он,wo
он → [MASK],ref
ображают → обращают,ortho
решит → решить,asp
товар → товары,agrnum
разного покупателя → разных покупателей,agrnum
каког- то → какого-то,ortho
какой то → какой-то,hyphen
открытие → открытии,agrcase
авто- заводов → автозаводов,hyphen
пользывание → пользование,ortho
чего нибудь → чего-нибудь,hyphen
создание → создания,agrcase
центром → предметом,lex
которая → которое,agrgender
отделение → отделить,constr
в ораторском искусстве → на ораторское искусство,"gov, conj"
Все особенностиораторского искусство и риторики рассматриваются → В статье рассматриваются все особенности ораторского искусства и риторики,wo
в заключение →  в заключении,"infl, ortho"
делаются → становятся,lex
нас оставляет → оставляет,del
улучшить → сделать лучше,lex
и → а,conj
на → за,conj
хочеть → хочет,infl
жит → жить,infl
получат → получить,"asp, infl"
выдвигается → ставится,lex
неодинаковую → различную,lex
разных → разные,agrcase
значение геополитики → геополитику,constr
значению → своей сути,lex
процессе → области,"lex, constr"
процессах → области,"lex, constr"
природных ландшафтов → природного оельефа,constr
изменениях → изменений,agrcase
заинтересована в безопасности → занимается безопасностью,constr
на пример → например,space
Великобритания → Великобратании,agrcase
"Россия,  Китай → России, Китае",agrcase
"понятии термина → том, как следует понимать термин",constr
политических стратегий → политических планах,constr
своей → его,ref
выгодным → выгодном,"ortho, gov"
уникальным → уникальном,gov
коммуникаций → путей сообщения,lex
компонентов → факторов,lex
рыночное положение → рыночная ситуация,lex
демографическое состояние → демографическая ситуация,lex
территории → территория,num
так же → также,space
Китай → Китая,agrcase
Япония → Японии,agrcase
обшего → общего,ortho
Так же → Также,space
имеет наибольшее политическое влияние на → больше всего влияет на,constr
геополитический мировой → мировой геополитический,wo
помогает → помогают,agrnum
которые ведут внешнюю политику этого государства → благодаря которым внешняя политика  государства идёт,"constr, ref"
отношение → отношения,num
американизма → американизации,"lex, par"
в → на,prep
рамкаях → рамках,ortho
обуславливает во многом → во многом обуславливает,wo
взаимовлияет → влияет,deriv
"экономика,  политика,  экология,  культура, → в экономике, политике, экологии, культуре",agrcase
пересечь → пересекать,asp
оказаться → прибывать,"asp, lex"
"на так легко сказать,  как сделать → не так легко сделать, как сказать",idiom
потому что → потому что нужно,constr
"патруль охраняющий → патрулей, охраняющих","num, genneg"
им → ей,"num, ref"
быть → сохранить присутствие,"constr, lex"
состовляет → составляет,ortho
так же больший → также соглашение увеличило,constr
возможность → предоставило возможность,constr
позволяло → позволило,asp
пописавние → подписание,"misspell, deriv"
позволяло → позволило,asp
"продолжение неолиберальных реформ, → продолжить неолиберальные реформы",syntax
отказ → отказаться,syntax
позволила → поспособствовала,lex
в → на,prep
и →  ,conj
Много работодатели → Многие работодатели,"syntax, constr"
работать иммигрантов → иммигрантов работать,wo
давать → дают,"agrpers, agrnum, syntax"
Много законов было принято по этому поводу → По этому поводу было принято много законов,wo
нелегальны → - нелегалы,"syntax, constr"
как любой гражданин Америки → с любым гражданином Америки,"constr, conj"
права работников → рабочие права,constr
имеет любой другой рабочий гражданин Америки → есть у любого другого рабочего - гражданина Америки,"hyphen, constr"
Так же → Также,space
бенефиты → льготы,lex
на пример → напрмер,space
страховку на здоровье → медицинскую страховку,"idiom, constr"
биллионов → миллиардов,lex
биллиона → миллиарда,lex
Так же → Также,space
студента → ученика,lex
со → c,"altern, prep"
все страны → для всей страны,"prep, constr"
создание → разработку,idiom
Геополитическое отношение → Геополитические отношения,num
обуславлиеват → обуславливает,ortho
сложные → их сложные,ref
употребления чрезмерности → чрезмерного употребления,wo
источники → источников,agrcase
утверждать → подтвердить,"lex, asp"
только знают → знают только,wo
радной → родной,ortho
которые → кто,lex
терминосистеме → системе терминов,deriv
так же → также,space
борятся → борются,infl
быть → находиться,lex
которой → которых,agrnum
создаемая → создаваемая,deriv
размещается → [MASK],coord
происходить → [MASK],ortho
созадал → создал,ortho
необходимые → необходимыми,agrcase
разные системы → системы разные,wo
всех → всех есть,aux
отридсательные → отрицательные,ortho
Украйна → Украины,"ortho, agrcase"
вУкрайн → в Украину,"space, ortho, agrcase"
стоил → это стоит,tense
гражданинов → граждан,lex
влияет → влияет на,"conj, gov"
больше → большего,lex
возпринимать → воспринимать,ortho
искуство → искусство,ortho
возприятия → восприятие,"agrcase, ortho"
искуство → искусства,"agrcase, ortho"
влияние → влиянием,agrcase
игрм → игр,ortho
Верность → [MASK],lex
манипулирования → [MASK],syntax
Эффект → [MASK],lex
недосоверные → [MASK],ortho
Справдливость → [MASK],ortho
"потому- что → ,потому что",hyphen
темя → тема,ortho
среди → во время,"lex, prep"
Со стороны → С точки зрения,constr
перемен с → переход из,"lex, prep, gender"
приносит → вызывает,lex
но → а,conj
и →  ,conj
радиционные → традиционные,ortho
позволяют для → предоставляют,lex
разнообразия → [MASK],lex
вмести → вместе,ortho
В это входит → Это подразумевает,constr
всех временах → все времена,gov
от куда → откуда,space
"и → ,",conj
маркетинг → маркетинга,gov
резко → сильно,lex
проживщим → [MASK],ortho
сегоднешняя → [MASK],ortho
речи → [MASK],"lex, syntax"
пускать → [MASK],lex
Сколько → Какое количество,lex
группой → группе,agrcase
низкий → низко,brev
интеллектуальности → интеллектуальным,agrcase
не →  ,neg
не связан только → связан не только с,neg
знанем → знанием,ortho
добиватьса → добиваться,ortho
знаних → знаний,ortho
имеющий → обладающий,lex
по-моему → по моему,hyphen
нтеллектуальности → не интеллектуальности,"ortho, space"
"– и → , что",conj
и → а,conj
значит → означает,lex
значит → означает,lex
существуют → существует,agrnum
но → а,"conj, lex"
не было много → было немного,constr
понять → определить,lex
языковедческой → языковой,lex
преставлены → представлены,ortho
было надо → надо было,wo
появилсись → появились,ortho
из → в результате,conj
не путать → различать,lex
поступком → поступкам,ortho
чувство → чувства,num
наблюдением → наблюдниям,infl
молодых знакомых → знакомых молодых людей,constr
причина → причной,gov
националистические → националистическое,agrnum
Ближнем Востоке → Ближний Восток,agrcase
вторжение → вторжения,gov
войсках → войск,agrcase
которой → которому,agrgender
реальность о том → глаза на то,constr
чувства → чувство,num
Арт Деко → Арт-Деко,hyphen
стиль архитектуры → архитектурный стиль,constr
видится → можно разглядеть,lex
наносит резкий удар к небесам → [MASK],constr
вершины → расцвета,lex
"таких других творческих людей, → других творческих людей, таких",wo
выбрал → решил,lex
живом куске → живой части,lex
был → были,agrnum
один → одни,agrnum
что → то,conj
"в то, → ,",constr
со →  ,prep
всем своим сердцем → всем сердцем,idiom
когда → как,lex
шиколад → шоколад,ortho
Несколь → Несколько,ortho
наконецто → наконец-то,hyphen
музыка → музыку,gov
класс → предмет,lex
на → в,prep
самыя → самая,ortho
сбудится → сбудется,infl
меняет → меняется,refl
суша → суши,gov
"тем выше воздух в атмосфере,  чем →  чем выше воздух в атмосфере, тем",conj
образуют → образует,num
воды собираются → собирается вода,"num, wo"
етап → этап,graph
облак → облаков,infl
водами → водой,num
испарившиеся → испарившейся,agrcase
коионах → [MASK],lex
здания → зданиях,gov
види → виды,infl
добится → добиться,ortho
убействе → убийстве,ortho
пармии → партии,ortho
книгы → книги,infl
мой → моей,agrgender
часте → части,"infl, ortho"
аррестовали → арестовали,ortho
ровотала → работала,misspell
тротскийстом → троцкистом,misspell
открытия → раскрытия,lex
опастности → опасность,"gov, ortho"
применения → применении,agrcase
иследования → исследования,ortho
вебсайта → с вебсайта,prep
вобщем- то → в общем-то,space
одним из самых главных оружий → важным оружием,constr
они → им,ref
Наверно → Наверное,ortho
хрущевкам → [MASK],gov
обсуждается → [MASK],lex
тема по  → тема ,lex
похожесть → [MASK],lex
стало → [MASK],coord
В первые  → Впервые ,ortho
Советского → [MASK],ortho
домостроения → [MASK],gov
начинали → [MASK],asp
квартире → [MASK],gov
длина → [MASK],lex
составила → [MASK],coord
дыхания → [MASK],lex
человека → [MASK],gov
полезности → [MASK],lex
действии → [MASK],constr
талантливый → [MASK],gov
было → [MASK],lex
наименьшей → [MASK],lex
строительству → [MASK],lex
в нутри  → внутри ,ortho
такимже одинаковым  → таким же ,lex
их → [MASK],syntax
перепланироки → [MASK],ortho
добавляются → [MASK],lex
мансардой → [MASK],constr
комфортабельными → [MASK],lex
так как обеспечило  → так как это обеспечило ,lex
спровоцировали → [MASK],lex
изменить → изменять,asp
итд → и т. д,"space, misspell"
Грин Пис → Гринпис,"space, translit"
знатных → выдающихся,lex
Без → Без таких,constr
был обращен → было бы обращено,mode
кран → крана,agrcase
большинство → большая часть,constr
Географически говоря → С географической точки зрения,constr
ближе → больше,lex
широкая → распространенная,lex
татарском → татаро-монгольском,lex
почти не занимает никакое место → не занимает почти никакого места,wo
от → с,prep
приняли → переняли,lex
историй → истории,ortho
германцем → немцем,lex
перестроить → построить,lex
татарском → татаро-монгольском,lex
ближе → скорее,lex
азиатским образом → по-азиатски,constr
возникновения → возникновение,num
развития → развитие,num
функционирования → функционирование,num
местной и национальной → местную и национальную,agrcase
культуры → культуру,gov
Цицирон → Цицерон,translit
применил → употребил,lex
Основными → Основные,gov
обязан был → был обязан,wo
обладать умением → уметь,constr
знанием → знать,constr
французского и латинского языков → французский и латинский языки,gov
владением → владеть,constr
должен уметь → должен был уметь,tense
позже → позднее,lex
елементов → элементов,ortho
жувым → живым,ortho
верование → вера,lex
особые использования → особое использование,num
появляются → появились,tense
время → времена,num
По моему → По-моему,hyphen
работает → работал,tense
обработает → работать,agrstr
других → другим,"ref, gov"
строили нам лучше мир → делал наш мир лучше,constr
Зачем → Почему,lex
интересуемся → мы интересуемся,syntax
интересная → интересна,brev
очень редко думаем → мы очень редко думаем,syntax
обращаться → обращать,refl
самые важние → важнее,"syntax, constr"
истории → историю,gov
эти известные люди фактически не одни → не только эти известные люди фактически,"constr, wo"
ответили за → повлияли на,"lex, prep"
направление → направление развития,lex
способность → возможность,lex
курс истории → курс развития истории,lex
кормили → кормил,agrnum
давали → давал,agrnum
влияли → влиял,agrnum
Кажется мне → Мне кажется,wo
знать → помнить,lex
ресурсы → ресурсов,gov
державв → державу,ortho
все → всех,agrcase
жителей → ее жителей,ref
намного →  заметно,lex
совершенное → абсолютное,lex
право → права,gov
человек → населения,lex
другого → других,num
изменялось → менялось,asp
паспрортную → паспортную,ortho
право → права,gov
от → с,prep
Крестьянин → Крестьяне,num
крестьянина → крестьянин,gov
обязанность → обязательства,"lex, num"
продуктами → продуктов,gov
занимался профессией → имел профессию,constr
сельском → сельским,agrcase
Отмены → Отмена,num
реформы → реформ,num
создана → проведена,lex
комитет по крестьянскому делу был организован → был организован комитет по крестьянскому делу,wo
вероятные → [MASK],lex
В первых годах → Вначале,constr
и → который,"conj, syntax"
"на 19 февраля,  1861 → 19 февраля 1861 года","constr, prep"
условий →  ,lex
согласился → согласится,tense
Домашняя жизнь → Быт,lex
обыкновенная → повседневная,lex
осталась почти одинакова → почти не изменилась,constr
деды → их деды,ref
Дома → Домами,gov
Центра дома были два → В доме было два центра,constr
и → а,conj
большинство → больше всего,lex
старые → старики,lex
духовный центр → духовным центром,gov
обычном → обычной,agrgender
больше → чаще,lex
без длинной и сложной обработки → простые в приготовлении,constr
Главные блюда → Главными блюдами,gov
посты → пост,num
тоже → также,lex
тюра → тюря,ortho
и тоже → а еще,conj
искрошенной → измельченной,lex
время → времена,num
не готовые были → были не готовы,wo
своего деревне → своей деревней,gov
разорились → разорилось,agrpers
много крестьян → многие крестьяне,constr
были высокие на мировом рынке → на мировом рынке были высокие,wo
много → многие,lex
и без такого образования → [MASK],syntax
крестьянах → крестьян,gov
было надо → надо было,wo
средства → инструменты,lex
производства → для работы,lex
отмена → отмены,gov
статьи → статье,gov
кто → кем они,"ref, syntax"
часть → частью,gov
кто → которые,ref
а → но,conj
забываемой → забытой,lex
описывает → характеризует,lex
Песня использует → В песне используются,"impers, constr"
переносную → переносная,agrcase
представляя войну → война представляется,"constr, impers"
песни → песне,gov
проводит → производит,lex
"в то же время,  как → и в то же время",constr
свидание → свидания,"idiom, ortho, gov"
изображают → отображают,lex
опыты → события,lex
солдатов → солдат,infl
"и → ,","syntax, conj"
здравоохранения → здравоохранение,num
здравоохранения → здравоохранение,num
Поликлиник → Поликлиника,gender
врачём → врачом,ortho
говорит → поговорить,asp
серёзными болезнами → серьёзными заболеваниями,lex
платить за здравоохранение → заранее заплатив за это деньги,constr
Сушествовала → существовала,ortho
без платно → бесплатно,"space, ortho"
идти → пойти,asp
строялась на основе → основывалась на,constr
жительному району → жилым районам,num
пошли сначала → сначала шли,wo
нужно было → было нужно,wo
В современое время → В настоящее время,lex
большинство → большинства,agrcase
из → с,prep
жительном → жилом,lex
раница → отличие,lex
ходят не обязательно → не обязательно ходят,wo
оставается → остается,altern
доволным → довольным,ortho
счастьи → счастья,"gender, infl"
доволным → довольным,ortho
срашаваете → спросите,asp
думаете → подумайте,asp
выжить → сделать,lex
вы имеете → у вас есть,aux
сделаете матиматику → посчитайте,constr
"что вы имеете,  которое больше → чего у вас больше",constr
благословенный → [MASK],lex
то → что,ortho
учиться любить → научитесь делать это любить,constr
Наибольший → Самая главная,lex
о себе → в отношении себя,constr
будет найти → найдут,aux
"вам нужны других быть счастливым → нам нужно, чтобы другие были счастливы",constr
свое → собственное,lex
ищет → ищут,agrnum
будете → станете,lex
для того → за то,prep
для → за,prep
вас → тебя,agrnum
вы знаете → ты знаешь,agrnum
кто → кого,ref
думаете → думайте,asp
больше всего → самое главное,constr
другам → другим,infl
его → свое,ref
обьединяет → объединяет,ortho
обстановка → атмосфера,lex
они находятся → он находится,num
несли → носили,lex
барсука → барсук,gov
выжный → важный,ortho
объединение → объединении,gov
течении → в течение,idiom
соединялись → объединялись,lex
не смотря на то → несмотря ,ortho
не стал → не стал бы,mode
научился → научится,asp
про то → о том,constr
Християнство → [MASK],ortho
отличается → отличает,refl
абстактное → абстрактное,ortho
знали → узнавали,lex
считает → считала,asp
произошло → наступило,lex
Конец рассказа говорит → В конце рассказа говорится,"constr, impers"
зарубеж → за рубеж,space
быть → стать,lex
так получилось)  замужество → это произошло из-за замужества,constr
Науки → науки,ortho
Этос Науки → Этоса науки,gov
эго → его,ortho
происхождения → происхождение,syntax
морально → в соответствии с моралью,constr
как → такие как,conj
Приводится → Приводятся,agrnum
описует → описывает,"altern, deriv"
Науки → науки,ortho
Науки → науки,ortho
образ → способ,lex
продвигаться → развиваться,lex
как положительное → положительно,constr
другу на друга → друг на друга,agrcase
в унисоне → параллельно,"gov, lex"
"и → и,",punct
Эта → Это,ref
Пола → Пока,ortho
классы → предметы,lex
Так же для некоторых людей карьера → Так же для некоторых людей звёзды это карьера,syntax
Что бы → Чтобы,space
лучшее что возможно → всё возможное,constr
работать много → много работать,wo
обоих → обеих,agrgender
большое → важное,"lex, constr"
американце → американцы,infl
"движение,  чтобы → движение за то, чтобы","gov, syntax"
вашло → вошло,ortho
меньше едят свежие продукты → едят меньше свежих продуктов,"constr, gov, wo, syntax"
Согласна → Я согласна,"agrstr, syntax"
на общественном транспорте → ездят на общественном транспорте,lex
дайти → дойти,ortho
сводобным → свободным,ortho
пренудительным → принудительный,ortho
сводобный → свободный,ortho
соответсвенно → соответственно,ortho
воли → воле,ortho
делается согласно → основан на,"lex, passive"
выполняется не всегда → не всегда выполняется,wo
проблемы с обществом → социальные проблемы,lex
Элизавет → Элизабет,translit
и она → которая,ref
чёрными- белами → черными и белыми,"hyphen, space, infl"
их → них,ref
также и → а также,conj
Для некоторых городов → Некоторым  городам,gov
для страны → стране,gov
сообществ → сообществах,"gov, agrcase"
преимущества отдельно → отдельные преимущества,lex
несчастливость → несчастность,"deriv, lex"
Сэнгберг → Сэндберг,translit
Элиос → Элиот,translit
о Гражданской войне → Гражданской войны,gov
разрыв с орфографией и синтаксисом → отрыв от орфографии и синтаксиса,"lex, par"
Хэмингуей → Хемингуэй,translit
первый вопрос наш → наш первый вопрос,wo
как видно → как вы видите,"impers, idiom"
общего будущего мира → будущего мира в целом,lex
имеет много значительного → много значит,"lex, constr"
он → это,ref
"делает так,  чтобы все здесь поняли → заставит всех здесь понять",lex
Во третых → В-третьих,"prep, hyphen, altern, infl"
очищаете → чистите,"lex, par, idiom"
нас всех → всех нас,"wo, constr"
ответственность → есть ответственность,aux
землей → Землей,ortho
есть → может быть,aux
нам очень удобно → мы не испытываем проблем с водой,lex
"Вода нам не кажется таким важным,  редким элементом здесь → Здесь вода нам не кажется таким важным, редким элементом",wo
переживают и страдают → страдают,gov
найдется → найти,"refl, impers"
идет без → лишена,"lex, constr"
поже → позже,"ortho, altern"
будете узнать → узнаете,tense
озеленном → зеленом,deriv
мокром → влажном,lex
появятся → появится,impers
От → Из-за,prep
известного → знаменитого,lex
важна → важно,"ortho, impers"
которых → которые,"ref, agrcase"
водны → водный,ortho
настоящий кризис → настоящего кризиса,"genneg, gov"
вас сможем → сможем вас,wo
нас всех → на всех нас,"gov, prep, wo"
эффекты → последствия,lex
малиннике → маленькие,ortho
игнорировали → игнорируем,tense
ваших жизнях → вашей жизни,num
думали → подумали,asp
всем жителям → для всех жителей,"prep, gov"
обязательно → обязательно нужно,impers
важная → важна,brev
такой → этот,ref
уходит → уйдет,"asp, tense, constr"
технологии → технологий,num
У нас человеческая и экологическая ответственность → Мы несем человеческую и экологическую ответственность,"lex, constr, idiom"
серёзных → серьёзных,ortho
состовляли → составляли,ortho
день → длился,syntax
осовенно → особенно,ortho
самосознание → национальное самосознание,lex
права → политические права,lex
внешнему аудиту → Внешний аудит,agrcase
с целью → для,"constr, lex"
полученная → получена,"brev, constr"
мебелю → мебелью,ortho
по поводу → про,lex
существует → существуют,agrnum
связано → связана,agrgender
обычно → и обычно,conj
по этому → поэтому,space
Росси → России,infl
соответствующее название → соответствующие названия,num
Из → Из-за,"lex, constr"
за → как,"lex, constr"
По этому → Поэтому,space
используется → используются,agrnum
очень → они очень,constr
заимствованных → в заимствовании,"constr, lex"
Так же → Также,space
для сохранения → над сохранением,"constr, lex"
в → на,"lex, constr"
среди → в,"lex, constr"
общение → общении,infl
служили → служило,agrnum
по этому → поэтому,space
не созданы → созданы не,wo
законы → соблюдение законов,"constr, lex"
усиливаются → обеспечивается,lex
очень → сильно,lex
По этому → Поэтому,space
в → при,"lex, constr"
отношение меняются → отношения переходят,"num, lex, constr"
по этому → поэтому,space
Голивудские → голливудские,ortho
общение → общении,agrcase
станет → встанет,lex
первый → первым,"constr, gov"
надо → нужно,lex
встали → встал,agrnum
начинают → начинает,agrnum
надо → нужно,lex
эконмики → экономики,ortho
стимула → стимулы,infl
административные регулирования → административное регулирование,num
припой → прибыль,"lex, par"
эти → этой,"lex, ref"
состоит → состоят,agrnum
государство → государства,agrcase
Основные задачи → Основными задачами,gov
конкуретно-способности → конкурентоспособности,"hyphen, ortho"
зависит → зависеть,"tense, constr"
саморегулирующего → саморегулирующегося,"lex, refl"
Опустынивание → Осушение,lex
к прежнему состоянию → [MASK],constr
со временем → за короткое время,"constr, lex"
В этом примере → На этом примере,lex
социальнный → социальный,ortho
нашелся ответ к проблеме → нашлось решение проблемы,"constr, syntax"
проблематичной → проблемной,lex
"В то время,  когда → В то время, как",constr
в → [MASK],insert
загрезнения → [MASK],ortho
впутывалась → вмешивалась,lex
развития в России → развития России,"constr, syntax"
становятся незначительными → остаются без внимания,"constr, lex"
используются на другие интересы людей → используются в других интересах,"lex, constr"
восстановления → решения,lex
настоящая → [MASK],lex
опустынивания → осушения,lex
Соотечествиники → Соотечественники,"misspell, ortho"
налаживание → налаживании,agrcase
сохранение → сохранении,agrcase
они → [MASK],constr
повидения → поведения,ortho
потому → из-за того,"lex, constr"
была разная модель → были разные модели,agrnum
если можно  → можно ли ,constr
согласится → согласиться,ortho
согласится → согласиться,ortho
входи → входили,ortho
интеллектуальние → интеллектуальные,ortho
научные → ученые,lex
боротся → бороться,ortho
думали → считали,lex
они → те,ref
от части → отчасти,space
носители → носителями,gov
можно назвать эмиграцию вынужденной → эмиграцию можно назвать вынужденной,wo
ехать → уехать,asp
по истории → как показывает история,constr
краней → крайней,ortho
появилась → появился,agrpers
осталась надежда у народа → у народа осталась надежда,wo
на → в,lex
нужных → необходимых,lex
недостаткость → недостаток,deriv
А → [MASK],conj
быть с грязным воротничком → ходить с грязным воротничком,constr
споткнуться → оступиться,lex
С душевным владением → Сохраняя самообладание,constr
гостинной → гостиной,ortho
стеснялись всегда → всегда стеснялись,wo
Он → Они,ortho
и → но,conj
два стиля жизни → двойной образ жизни,lex
